sample	drug	dbID	syn	pcID	gvm
tretinoin DB00755 mouse GSE31280 sample 2829	tretinoin	db00755		444795	pc444795
morphine 5288826 mouse GSE7762 sample 3489	morphine	db5288826		5288826	pc5288826
cytarabine, 2xEC50, 3 d 6253 human GSE6930 sample 3423	cytarabine	db6253		6253	pc6253
estradiol 5757 mouse GSE2889 sample 3608	estradiol	db5757		5757	pc5757
curcumin 969516 human GSE10896 sample 3408	curcumin	db969516		969516	pc969516
cytarabine, EC50, 5 d 6253 human GSE6930 sample 3375	cytarabine	db6253		6253	pc6253
neocarzinostatin 5282473 human GSE1676 sample 3113	neocarzinostatin	db5282473			neocarzinostatin
Etanercept DB00005 human GSE36177 sample 2596	etanercept	db00005			etanercept
Retinoic acid 444795 human GSE32161 sample 3237	retinoic acid	db444795		444795	pc444795
celecoxib DB00482 human GSE11237 sample 3296	celecoxib	db00482		2662	pc2662
Bisphenol A 6623 human GSE17624 sample 2654	bisphenol a	db6623		6623	pc6623
methamphetamine 10836 mouse GSE30305 sample 2619	methamphetamine	db10836		66124	pc66124
vemurafenib DB08881 human GSE37441 sample 2564	vemurafenib	db08881		42611257	pc42611257
angiotensin II 172198 mouse GSE29145 sample 3216	angiotensin ii	db172198		172198	pc172198
mepenzolate bromide CID 6461 mouse GSE50836 sample 2502	mepenzolate bromide	db6461		6461	pc6461
heroin 5462328 mouse GSE30305 sample 2613	heroin	db5462328		5462328	pc5462328
SODIUM ARSENITE 443495 mouse GSE11056 sample 3356	sodium arsenite	db443495		443495	pc443495
CADMIUM 23973 human GSE9951 sample 3402	cadmium	db23973		23973	pc23973
lubiprostone DB01046 mouse GSE18327 sample 2778	lubiprostone	db01046		157920	pc157920
Ascorbyl-2-phosphate 54679073 human GSE11919 sample 3191	ascorbyl-2-phosphate	db54679073		54679073	pc54679073
rosiglitazone 77999 mouse GSE11343 sample 2672	rosiglitazone	db77999		77999	pc77999
lung cancer DB00928 human GSE29077 sample 2534	lung cancer	db00928		9444	pc9444
formaldehyde 712 rat GSE7002 sample 3541	formaldehyde	db712		712	pc712
cisplatin DB00515 human GSE47856 sample 3153	cisplatin	db00515			cisplatin
Lipopolysaccharide 11970143 human GSE5504 sample 3484	lipopolysaccharide	db11970143		11970143	pc11970143
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3520	perfluorooctanoic acid	db9554		9554	pc9554
genistein 5280961 mouse GSE2889 sample 3606	genistein	db5280961		5280961	pc5280961
CADMIUM 23973 human GSE6907 sample 3530	cadmium	db23973		23973	pc23973
methylprednisolone 6741 rat GSE490 sample 3670	methylprednisolone	db6741		6741	pc6741
resveratrol DB02709 human GSE25412 sample 3501	resveratrol	db02709		445154	pc445154
quercetin DB04216 mouse GSE38136 sample 3436	quercetin	db04216		5280343	pc5280343
PRISTANE 15979 mouse GSE17297 sample 3228	pristane	db15979		15979	pc15979
formaldehyde 712 rat GSE7002 sample 3539	formaldehyde	db712		712	pc712
imatinib DB00619 human GSE1922 sample 2513	imatinib	db00619		5291	pc5291
quercetin DB04216 mouse GSE4262 sample 3431	quercetin	db04216		5280343	pc5280343
DETA NONOate 24890998 mouse GSE22087 sample 3212	deta nonoate	db24890998		1606	pc1606
cisplatin DB00515 human GSE47856 sample 3147	cisplatin	db00515			cisplatin
Dmnq   (2,3-Dimethoxy-1,4-naphthoquinone) 3136 human GSE6907 sample 3527	dmnq  	db3136		3136	pc3136
vemurafenib DB08881 human GSE37441 sample 2562	vemurafenib	db08881		42611257	pc42611257
Retinoic acid 444795 mouse GSE1588 sample 3631	retinoic acid	db444795		444795	pc444795
HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3384	hypochlorous acid	db24341		24341	pc24341
vemurafenib DB08881 human GSE37441 sample 2563	vemurafenib	db08881		42611257	pc42611257
Heregulin 56310950 human GSE22288 sample 3215	heregulin	db56310950			heregulin
cisplatin DB00515 human GSE47856 sample 3150	cisplatin	db00515			cisplatin
EPZ004777 56962336 human GSE29828 sample 2650	epz004777	db56962336		56962336	pc56962336
Phosgene 6371 mouse GSE2565 sample 3614	phosgene	db6371		6371	pc6371
Bisphenol A 6623 human GSE17624 sample 2656	bisphenol a	db6623		6623	pc6623
ubiquinol 9962735 mouse GSE15129 sample 3461	ubiquinol	db9962735			ubiquinol
Androstanolone 10635 human GSE7868 sample 3411	androstanolone	db10635		10635	pc10635
estradiol DB00783 human GSE4668 sample 2727	estradiol	db00783		5757	pc5757
2,3,7,8-tetrachlorodibenzo-p-dioxin 10852289 rat GSE48100 sample 3112	2,3,7,8-tetrachlorodibenzo-p-dioxin	db10852289		15625	pc15625
PLX4032 DB05238 human GSE24862 sample 2570	plx4032	db05238		42611257	pc42611257
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3310	trichloroethylene	db6575		6575	pc6575
ARC (NSC 188491) 302576 human GSE13477 sample 2503	arc	db302576		444637	pc444637
vitamin c DB00126 mouse GSE32994 sample 3508	vitamin c	db00126		54670067	pc54670067
MK-886 CID 3651377 human GSE3202 sample 3193	mk-886	db3651377		3651377	pc3651377
methylphenidate DB00422 human GSE52889 sample 3307	methylphenidate	db00422		4158	pc4158
adenosine triphosphate 5957 human GSE30903 sample 3220	adenosine triphosphate	db5957		5957	pc5957
cisplatin DB00515 human GSE47856 sample 3155	cisplatin	db00515			cisplatin
phenytoin DB00252 rat GSE2880 sample 3291	phenytoin	db00252		1775	pc1775
coenzyme Q10 5281915 mouse GSE15129 sample 3464	coenzyme q10	db5281915		5281915	pc5281915
SODIUM ARSENITE 443495 mouse GSE11056 sample 3361	sodium arsenite	db443495		443495	pc443495
imatinib DB00619 human GSE28698 sample 2524	imatinib	db00619		5291	pc5291
quercetin DB04216 mouse GSE4262 sample 3432	quercetin	db04216		5280343	pc5280343
hydrocortisone DB00741 human GSE7890 sample 2751	hydrocortisone	db00741		5754	pc5754
carboplatin DB00958 human GSE49577 sample 3176	carboplatin	db00958		38904	pc38904
1-[3-(Trifluoromethyl)phenyl]piperazine 4296 rat GSE68785 sample 3688	1-[3-(trifluoromethyl)phenyl]piperazine	db4296		4296	pc4296
resveratrol DB02709 human GSE25412 sample 3500	resveratrol	db02709		445154	pc445154
Cigarette Smoke 57288536 human GSE8823 sample 2478	cigarette smoke	db57288536			cigarettesmoke
resveratrol DB02709 mouse GSE62194 sample 3467	resveratrol	db02709		445154	pc445154
Cadmium dichloride 24947 rat GSE31503 sample 3281	cadmium dichloride	db24947		24947	pc24947
vitamin c DB00126 mouse GSE32994 sample 3510	vitamin c	db00126		54670067	pc54670067
Bisphenol A 6623 human GSE17624 sample 2655	bisphenol a	db6623		6623	pc6623
bexarotene 82146 rat GSE3952 sample 3564	bexarotene	db82146		82146	pc82146
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3309	trichloroethylene	db6575		6575	pc6575
vemurafenib DB08881 human GSE63790 sample 2508	vemurafenib	db08881		42611257	pc42611257
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3316	trichloroethylene	db6575		6575	pc6575
quercetin DB04216 mouse GSE4262 sample 3433	quercetin	db04216		5280343	pc5280343
cocaine 446220 human GSE54839 sample 2472	cocaine	db446220		446220	pc446220
Cobalt dichloride hexahydrate 24643 rat GSE51207 sample 3115	cobalt dichloride hexahydrate	db24643		24643	pc24643
formaldehyde 712 rat GSE7002 sample 3547	formaldehyde	db712		712	pc712
creatine 586 mouse GSE5140 sample 3205	creatine	db586		586	pc586
ZINC ACETATE 11192 human GSE2964 sample 3589	zinc acetate	db11192		11192	pc11192
lysophosphatidic acid 3988 human GSE26309 sample 3225	lysophosphatidic acid	db3988		5497152	pc5497152
d-serine 71077 rat GSE10748 sample 3388	d-serine	db71077		71077	pc71077
isoflurane 3763 rat GSE6433 sample 3653	isoflurane	db3763		3763	pc3763
Lipopolysaccharide 11970143 human GSE3140 sample 3595	lipopolysaccharide	db11970143		11970143	pc11970143
IFN-alphacon1 DB05258 human GSE5542 sample 2473	ifn-alphacon1	db05258			ifnalphacon1
fluticasone 5311101 human GSE15823 sample 3090	fluticasone	db5311101		5311101	pc5311101
troglitazone DB00197 rat GSE21329 sample 2834	troglitazone	db00197		5591	pc5591
quercetin DB04216 mouse GSE4262 sample 3430	quercetin	db04216		5280343	pc5280343
gamma-Tocotrienol 5282349 human GSE21946 sample 3242	gamma-tocotrienol	db5282349		5282349	pc5282349
azacitidine DB00928 human GSE29077 sample 2544	azacitidine	db00928		9444	pc9444
TRICHLOROETHYLENE 6575 mouse GSE24278 sample 3323	trichloroethylene	db6575		6575	pc6575
doxycycline DB00254 human GSE41035 sample 3040	doxycycline	db00254		54671203	pc54671203
methylprednisolone 6741 rat GSE490 sample 3659	methylprednisolone	db6741		6741	pc6741
imatinib DB00619 human GSE1418 sample 2521	imatinib	db00619		5291	pc5291
estradiol 5757 mouse GSE2195 sample 3619	estradiol	db5757		5757	pc5757
Etanercept DB00005 human GSE36177 sample 2597	etanercept	db00005			etanercept
lung cancer DB00928 human GSE29077 sample 2536	lung cancer	db00928		9444	pc9444
Perfluorooctanoic Acid 9554 mouse GSE13044 sample 3523	perfluorooctanoic acid	db9554		9554	pc9554
irinotecan DB00762 rat GSE11722 sample 2769	irinotecan	db00762		60838	pc60838
Ascorbic acid 54670067 mouse GSE37676 sample 3132	ascorbic acid	db54670067		54670067	pc54670067
phenol 996 human GSE6907 sample 3528	phenol	db996		996	pc996
