sample	drug	PCIDs	syn	gvm
CPC001_HA1E_24H-BRD-K62310379_(fluticasone_propionate)-10.0	brd k62310379		fluticasone_propionate	brdk62310379
CPC001_HA1E_24H-BRD-K81209512_(ag_494)-10.0	brd k81209512		ag_494	brdk81209512
CPC001_HA1E_24H-BRD-K94841585-10.0	brd k94841585			brdk94841585
CPC001_HA1E_24H-ag-879-10.0	ag 879	5487525		pc5487525
CPC001_HA1E_24H-ag_494-10.0	ag 494	5328771		pc5328771
CPC001_HA1E_24H-ag_556-10.0	ag 556	5328775		pc5328775
CPC001_HA1E_24H-ag_592-10.0	ag 592			ag592
CPC001_HA1E_24H-aloisine-10.0	aloisine	3641059		pc3641059
CPC001_HA1E_24H-am_404-10.0	am 404	6604822		pc6604822
CPC001_HA1E_24H-angiogenesis_inhibitor-10.0	angiogenesis inhibitor	2812173		pc2812173
CPC001_HA1E_24H-arecaidine_propargyl_ester_tosylate-10.0	arecaidine propargyl ester tosylate	6604936		pc6604936
CPC001_HA1E_24H-arp_101-10.0	arp 101	11292680		pc11292680
CPC001_HA1E_24H-austricine_hydrate-10.0	austricine hydrate	25102721		pc25102721
CPC001_HA1E_24H-bapta-am-10.0	bapta am	2293		pc2293
CPC001_HA1E_24H-benzo[a]pyrene-10.0	benzo[a]pyrene	2336		pc2336
CPC001_HA1E_24H-brefeldin_a-10.0	brefeldin a	5287620		pc5287620
CPC001_HA1E_24H-bw-b_70c-10.0	bw b 70c	5353454		pc5353454
CPC001_HA1E_24H-cabergoline-10.0	cabergoline	54746		pc54746
CPC001_HA1E_24H-caffeic_acid_phenethyl_ester-10.0	caffeic acid phenethyl ester	5281787		pc5281787
CPC001_HA1E_24H-cdc-10.0	cdc	14840979		pc14840979
CPC001_HA1E_24H-cdk2/5_inhibitor-10.0	cdk2/5 inhibitor	16760362		pc16760362
CPC001_HA1E_24H-cfm_1571_hydrochloride-10.0	cfm 1571 hydrochloride	56972190		pc56972190
CPC001_HA1E_24H-cilnidipine-10.0	cilnidipine	5282138		pc5282138
CPC001_HA1E_24H-clobetasol_propionate-10.0	clobetasol propionate	32798		pc32798
CPC001_HA1E_24H-cosmosiin-10.0	cosmosiin	5280704		pc5280704
CPC001_HA1E_24H-cyclopamine-10.0	cyclopamine	442972		pc442972
CPC001_HA1E_24H-cyclosporin_a-10.0	cyclosporin a	5284373		pc5284373
CPC001_HA1E_24H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC001_HA1E_24H-dehydroisoandosterone_3-acetate-10.0	dehydroisoandosterone 3 acetate			dehydroisoandosterone3acetate
CPC001_HA1E_24H-dichlorobenzamil-10.0	dichlorobenzamil	114771		pc114771
CPC001_HA1E_24H-digoxin-10.0	digoxin	2724385		pc2724385
CPC001_HA1E_24H-diphenyleneiodonium_chloride-10.0	diphenyleneiodonium chloride	2733504		pc2733504
CPC001_HA1E_24H-dpn-10.0	dpn			dpn
CPC001_HA1E_24H-ebpc-10.0	ebpc	54677973		pc54677973
CPC001_HA1E_24H-emd_41000-10.0	emd 41000			emd41000
CPC001_HA1E_24H-estradiol_valerate-10.0	estradiol valerate	13791		pc13791
CPC001_HA1E_24H-fit-10.0	fit	84008		pc84008
CPC001_HA1E_24H-fk_888-10.0	fk 888	107967		pc107967
CPC001_HA1E_24H-fluticasone_propionate-10.0	fluticasone propionate	444036		pc444036
CPC001_HA1E_24H-fr_139317-10.0	fr 139317	107810		pc107810
CPC001_HA1E_24H-gangleoidin_acetate-10.0	gangleoidin acetate	4673190		pc4673190
CPC001_HA1E_24H-gbr_13069_dihydrochloride-10.0	gbr 13069 dihydrochloride	57358708		pc57358708
CPC001_HA1E_24H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC001_HA1E_24H-genistin-10.0	genistin	5281377		pc5281377
CPC001_HA1E_24H-ginsenoside-rc-10.0	ginsenoside rc	12855889		pc12855889
CPC001_HA1E_24H-gr_127935_hydrochloride-10.0	gr 127935 hydrochloride	11497466		pc11497466
CPC001_HA1E_24H-gr_32191_hydrochloride-10.0	gr 32191 hydrochloride			gr32191hydrochloride
CPC001_HA1E_24H-gsk-3b_inhibitor_viii-10.0	gsk 3b inhibitor viii			gsk3binhibitorviii
CPC001_HA1E_24H-h_89_dihydrochloride-10.0	h 89 dihydrochloride	449241		pc449241
CPC001_HA1E_24H-halcinonide-10.0	halcinonide	443943		pc443943
CPC001_HA1E_24H-hemado-10.0	hemado	10981286		pc10981286
CPC001_HA1E_24H-herniarin-10.0	herniarin	10748		pc10748
CPC001_HA1E_24H-homoharringtonine-10.0	homoharringtonine	285033		pc285033
CPC001_HA1E_24H-ic_261-10.0	ic 261	5288600		pc5288600
CPC001_HA1E_24H-ici-162,846-10.0	ici 162,846	134778		pc134778
CPC001_HA1E_24H-ici-89406-10.0	ici 89406	123686		pc123686
CPC001_HA1E_24H-imd_0354-10.0	imd 0354	5081913		pc5081913
CPC001_HA1E_24H-isoeugenitol-10.0	isoeugenitol	5318562		pc5318562
CPC001_HA1E_24H-isoflupredone_acetate-10.0	isoflupredone acetate	224246		pc224246
CPC001_HA1E_24H-jak3_inhibitor_i-10.0	jak3 inhibitor i	3794		pc3794
CPC001_HA1E_24H-jak3_inhibitor_ii-10.0	jak3 inhibitor ii	3795		pc3795
CPC001_HA1E_24H-jak3_inhibitor_vi-10.0	jak3 inhibitor vi	16760524		pc16760524
CPC001_HA1E_24H-kf_38789-10.0	kf 38789	5373277		pc5373277
CPC001_HA1E_24H-l-732,138-10.0	l 732,138	132837		pc132837
CPC001_HA1E_24H-lawsone-10.0	lawsone	6755		pc6755
CPC001_HA1E_24H-leflunomide-10.0	leflunomide	3899		pc3899
CPC001_HA1E_24H-levcromakalim-10.0	levcromakalim	93504		pc93504
CPC001_HA1E_24H-lfm-a12-10.0	lfm a12			lfma12
CPC001_HA1E_24H-lobelanidine_hydrochloride-10.0	lobelanidine hydrochloride	197840		pc197840
CPC001_HA1E_24H-ly-165,163-10.0	ly 165,163	121930		pc121930
CPC001_HA1E_24H-lylamine_hydrochloride-10.0	lylamine hydrochloride	16759156		pc16759156
CPC001_HA1E_24H-mdm2_inhibitor-10.0	mdm2 inhibitor	10022508		pc10022508
CPC001_HA1E_24H-metergoline-10.0	metergoline	28693		pc28693
CPC001_HA1E_24H-mevastatin-10.0	mevastatin	64715		pc64715
CPC001_HA1E_24H-mibefradil_dihydrochloride-10.0	mibefradil dihydrochloride	60662		pc60662
CPC001_HA1E_24H-mpmq_hydrochloride-10.0	mpmq hydrochloride	9926998		pc9926998
CPC001_HA1E_24H-n-benzylnaltrindole_hydrochloride-10.0	n benzylnaltrindole hydrochloride			nbenzylnaltrindolehydrochloride
CPC001_HA1E_24H-naltrindole_hydrochloride-10.0	naltrindole hydrochloride	24840086		pc24840086
CPC001_HA1E_24H-nnc_05-2090_hydrochloride-10.0	nnc 05 2090 hydrochloride			nnc052090hydrochloride
CPC001_HA1E_24H-norketamine_hydrochloride-10.0	norketamine hydrochloride	25195026		pc25195026
CPC001_HA1E_24H-nsc_693868-10.0	nsc 693868	438981		pc438981
CPC001_HA1E_24H-ntncb_hydrochloride-10.0	ntncb hydrochloride	16759158		pc16759158
CPC001_HA1E_24H-o-2050-10.0	o 2050			o2050
CPC001_HA1E_24H-olvanil-10.0	olvanil	5311093		pc5311093
