DrugName	DrugID_ChEMBL	DrugID_DrugBank	DrugID_SMILES	DrugID_PC
1-4-dithiothreitol	chembl406270	NA	o[c@@h](cs)[c@@h](o)cs	439196
1d-myo-inositol 1-4-5-trisphosphate	chembl279107	NA	o[c@@h]1[c@h](o)[c@@h](op(o)(o)=o)[c@h](op(o)(o)=o)[c@@h](o)[c@@h]1op(o)(o)=o	439456
2'-monophosphoadenosine 5'-diphosphoribose	chembl295069	db03461	[h][c@]1(cop([o-])(=o)op(o)(=o)oc[c@@]2([h])o[c@@]([h])([n+]3=cc=cc(=c3)c(o)=n)[c@]([h])(o)[c@]2([h])o)o[c@@]([h])(n2c=nc3=c(n)n=cn=c23)[c@]([h])(op(o)(o)=o)[c@]1([h])o	5885
2-(1-1-dimethylethyl)9-fluoro-3-6-dihydro-7h-benz[h]-imidaz[4-5-f]isoquinolin-7-one	chembl21156	NA	cc(c)(c)c1=nc2=c3c=cc(f)=cc3=c3c(=o)nc=cc3=c2n1	5494425
2-(n-morpholino)-ethanesulfonic acid	chembl1234276	db03814	[o-]s(=o)(=o)cc[nh+]1ccocc1	78165
2-methoxyestradiol	chembl299613	NA	coc1=c(o)c=c2ccc3c4cc[c@h](o)[c@@]4(c)ccc3c2=c1	66414
2-phosphoglycolic acid	chembl47181	db02726	oc(=o)cop(o)(o)=o	529
3-4-methylenedioxymethamphetamine	chembl43048	NA	cnc(c)cc1=cc2=c(oco2)c=c1	1615
3-isobutyl-1-methyl-7h-xanthine	chembl275084	db07954	cc(c)cn1c2=c(n=cn2)c(=o)n(c)c1=o	3758
4-methoxyamphetamine	chembl278663	db01472	coc1=cc=c(cc(c)n)c=c1	31721
5-amino-3-{[4-(aminosulfonyl)phenyl]amino}-n-(2-6-difluorophenyl)-1h-1-2-4-triazole-1-carbothioamide	chembl261720	NA	nc1=nc(nc2=cc=c(c=c2)s(n)(=o)=o)=nn1c(=s)nc1=c(f)c=cc=c1f	5330812
5-hydroxymethyl-chonduritol	chembl1233349	db03092	[h][c@]1(o)c=c(co)[c@@]([h])(o)[c@]([h])(o)[c@@]1([h])o	5288564
abciximab	chembl1201584	NA	not found	NA
acamprosate	chembl1201293	db00659	cc(=o)ncccs(o)(=o)=o	71158
acepromazine	chembl39560	db01614	cn(c)cccn1c2=cc=cc=c2sc2=c1c=c(c=c2)c(c)=o	6077
acetazolamide	chembl20	db00819	cc(=o)nc1=nn=c(s1)s(n)(=o)=o	1986
acetylcysteine	chembl600	db06151	cc(=o)n[c@@h](cs)c(o)=o	12035
acetylsalicylic acid	chembl25	db00945	cc(=o)oc1=cc=cc=c1c(o)=o	2244
acitretin	chembl1131	db00459	coc1=c(c)c(c)=c(\c=c\c(\c)=c\c=c\c(\c)=c\c(o)=o)c(c)=c1	5284513
aclidinium	chembl1194325	db08897	oc(c(=o)o[c@h]1c[n+]2(cccoc3=cc=cc=c3)ccc1cc2)(c1=cc=cs1)c1=cc=cs1	11434515
adalimumab	chembl1201580	NA	not found	NA
adapalene	chembl1265	db00210	coc1=c(c=c(c=c1)c1=cc2=c(c=c1)c=c(c=c2)c(o)=o)c12cc3cc(cc(c3)c1)c2	60164
ademetionine	chembl1088977	db00118	[h][c@](n)(cc[s+](c)c[c@@]1([h])o[c@@]([h])(n2c=nc3=c(n)n=cn=c23)[c@]([h])(o)[c@]1([h])o)c([o-])=o	34755
adenine	chembl226345	db00173	nc1=c2nc=nc2=nc=n1	190
adenosine-3'-5'-diphosphate	chembl574817	db01812	nc1=nc=nc2=c1n=cn2[c@@h]1o[c@h](cop(o)(o)=o)[c@@h](op(o)(o)=o)[c@h]1o	159296
adenosine-5'-[beta- gamma-methylene]triphosphate	chembl133463	NA	[h][c@]1(cop(o)(=o)op(o)(=o)cp(o)(o)=o)o[c@@]([h])(n2c=nc3=c(n)n=cn=c23)[c@]([h])(o)[c@]1([h])o	91532
adenosine 5'-[??-thio]triphosphate	chembl131890	NA	[h][c@]1(cop(o)(=o)op(o)(=o)op(o)(o)=s)o[c@@]([h])(n2c=nc3=c(n)n=cn=c23)[c@]([h])(o)[c@]1([h])o	440317
adenosine monophosphate	chembl752	db00131	nc1=c2n=cn([c@@h]3o[c@h](cop(o)(o)=o)[c@@h](o)[c@h]3o)c2=nc=n1	6083
adinazolam	chembl328250	db00546	cn(c)cc1=nn=c2cn=c(c3=cc=cc=c3)c3=c(c=cc(cl)=c3)n12	37632
adipiplon	chembl2103791	db06579	cccc1=c(cn2c=cn=c2c2=c(f)c=cc=n2)n=cn2n=c(c)n=c12	11198924
agmatine	chembl58343	db08838	nccccnc(n)=n	199
alefacept	chembl1201571	NA	not found	NA
alemtuzumab	chembl1201587	NA	not found	NA
alendronic acid	chembl675	db00630	ncccc(o)(p(o)(o)=o)p(o)(o)=o	16760285
alitretinoin	chembl705	db00523	c\c(\c=c\c1=c(c)cccc1(c)c)=c\c=c\c(\c)=c\c(o)=o	449171
alpha-linolenic acid	chembl8739	db00132	cc\c=c/c\c=c/c\c=c/cccccccc(o)=o	5280934
alprazolam	chembl661	db00404	cc1=nn=c2cn=c(c3=cc=cc=c3)c3=c(c=cc(cl)=c3)n12	2118
alvocidib	chembl428690	db03496	cn1cc[c@@h]([c@h](o)c1)c1=c(o)c=c(o)c2=c1oc(=cc2=o)c1=cc=cc=c1cl	5287969
amiloride	chembl945	db00594	nc(n)=nc(=o)c1=c(n)n=c(n)c(cl)=n1	16231
amitriptyline	chembl629	db00321	cn(c)ccc=c1c2=cc=cc=c2ccc2=cc=cc=c12	2160
amlodipine	chembl1491	db00381	ccoc(=o)c1=c(coccn)nc(c)=c(c1c1=cc=cc=c1cl)c(=o)oc	2162
amobarbital	chembl267894	db01351	ccc1(ccc(c)c)c(=o)nc(=o)nc1=o	2164
amoxapine	chembl1113	db00543	clc1=cc2=c(oc3=cc=cc=c3n=c2n2ccncc2)c=c1	2170
amphetamine	chembl405	db00182	cc(n)cc1=cc=cc=c1	3007
amuvatinib	chembl2103851	db12742	s=c(ncc1=cc=c2ococ2=c1)n1ccn(cc1)c1=nc=nc2=c1oc1=c2c=cc=c1	11282283
andrographolide	chembl186141	db05767	[h]\c(c[c@]1([h])c(=c)cc[c@]2([h])[c@](c)(co)[c@]([h])(o)cc[c@@]12c)=c1/c(=o)oc[c@@]1([h])o	5318517
anisomycin	chembl423192	db07374	[h][c@]1(o)cn[c@]([h])(cc2=cc=c(oc)c=c2)[c@]1([h])oc(c)=o	253602
antihemophilic factor- human recombinant	chembl2108175	db00025	not found	NA
apomorphine	chembl53	db00714	[h][c@]12cc3=c(c(o)=c(o)c=c3)c3=cc=cc(ccn1c)=c23	6005
apremilast	chembl514800	db05676	[h][c@](cs(c)(=o)=o)(n1c(=o)c2=c(c1=o)c(=cc=c2)n=c(c)o)c1=cc(occ)=c(oc)c=c1	11561674
aprobarbital	chembl7863	db01352	cc(c)c1(cc=c)c(=o)nc(=o)nc1=o	6464
aripiprazole	chembl1112	db01238	clc1=cc=cc(n2ccn(ccccoc3=cc4=c(ccc(=o)n4)c=c3)cc2)=c1cl	60795
arsenic trioxide	chembl1200978	db01169	o=[as]o[as]=o	261004
asenapine	chembl504548	db06216	oc(=o)\c=c/c(o)=o.cn1cc2c(c1)c1=c(oc3=cc=cc=c23)c=cc(cl)=c1	3036780
atomoxetine	chembl641	db00289	cncc[c@@h](oc1=cc=cc=c1c)c1=cc=cc=c1	54841
atp	chembl14249	db00171	nc1=nc=nc2=c1n=cn2[c@@h]1o[c@h](cop(o)(=o)op(o)(=o)op(o)(o)=o)[c@@h](o)[c@h]1o	5957
atropine	chembl517712	db00572	cn1[c@h]2cc[c@@h]1c[c@@h](c2)oc(=o)c(co)c1=cc=cc=c1	174174
barbital	chembl444	db01483	ccc1(cc)c(=o)nc(=o)nc1=o	2294
basiliximab	chembl1201439	db00074	not found	NA
batimastat	chembl279786	db03880	[h][c@@](cc1=cc=cc=c1)(nc(=o)[c@]([h])(cc(c)c)[c@]([h])(csc1=cc=cs1)c(=o)no)c(=o)nc	5362422
belinostat	chembl408513	db05015	onc(=o)\c=c\c1=cc=cc(=c1)s(=o)(=o)nc1=cc=cc=c1	6918638
bendroflumethiazide	chembl1684	db00436	ns(=o)(=o)c1=cc2=c(nc(cc3=cc=cc=c3)ns2(=o)=o)c=c1c(f)(f)f	2315
benzquinamide	chembl1200707	db00767	ccn(cc)c(=o)c1cn2ccc3=cc(oc)=c(oc)c=c3c2cc1oc(c)=o	101584
benzthiazide	chembl1201039	db00562	ns(=o)(=o)c1=c(cl)c=c2nc(cscc3=cc=cc=c3)=ns(=o)(=o)c2=c1	2343
bepridil	chembl1008	db01244	cc(c)cocc(cn(cc1=cc=cc=c1)c1=cc=cc=c1)n1cccc1	2351
beta-d-glucose	chembl1614854	db02379	oc[c@h]1o[c@@h](o)[c@h](o)[c@@h](o)[c@@h]1o	64689
beta-mercaptoethanol	chembl254951	db03345	occs	1567
bethanidine	chembl1201260	db00217	cn\c(ncc1=cc=cc=c1)=n/c	2368
bevacizumab	chembl1201583	db00112	not found	NA
biotin	chembl857	db00121	[h][c@]12cs[c@@h](ccccc(o)=o)[c@@]1([h])nc(=o)n2	171548
bopindolol	chembl357995	db08807	cc1=cc2=c(n1)c=cc=c2occ(cnc(c)(c)c)oc(=o)c1=cc=cc=c1	44112
bosutinib	chembl288441	db06616	coc1=cc(nc2=c(c=nc3=cc(occcn4ccn(c)cc4)=c(oc)c=c23)c#n)=c(cl)c=c1cl	5328940
brexpiprazole	chembl2105760	db09128	o=c1nc2=cc(occccn3ccn(cc3)c3=c4c=csc4=cc=c3)=cc=c2c=c1	11978813
brivaracetam	chembl607400	db05541	ccc[c@h]1cn([c@@h](cc)c(n)=o)c(=o)c1	9837243
bromazepam	chembl277062	db01558	brc1=cc2=c(nc(=o)cn=c2c2=cc=cc=n2)c=c1	2441
bromocriptine	chembl493	db01200	[h][c@@]12cccn1c(=o)[c@h](cc(c)c)n1c(=o)[c@](nc(=o)[c@h]3cn(c)[c@]4([h])cc5=c(br)nc6=cc=cc(=c56)c4=c3)(o[c@@]21o)c(c)c	31101
brompheniramine	chembl811	db00835	cn(c)ccc(c1=cc=c(br)c=c1)c1=cc=cc=n1	6834
bumetanide	chembl1072	db00887	ccccnc1=c(oc2=cc=cc=c2)c(=cc(=c1)c(o)=o)s(n)(=o)=o	2471
butabarbital	chembl449	db00237	ccc(c)c1(cc)c(=o)nc(=o)nc1=o	2479
butalbital	chembl454	db00241	cc(c)cc1(cc=c)c(=o)nc(=o)nc1=o	2481
butethal	chembl404422	db01353	ccccc1(cc)c(=o)nc(=o)nc1=o	6473
cabergoline	chembl1201087	db00248	[h][c@@]12cc3=cnc4=cc=cc(=c34)[c@@]1([h])c[c@h](cn2cc=c)c(=o)n(cccn(c)c)c(=o)ncc	54746
caffeine	chembl113	db00201	cn1c=nc2=c1c(=o)n(c)c(=o)n2c	2519
calcium citrate	chembl2106123	db11093	[ca++].[ca++].[ca++].oc(cc([o-])=o)(cc([o-])=o)c([o-])=o.oc(cc([o-])=o)(cc([o-])=o)c([o-])=o	13136
calcium phosphate	chembl2106566	db11348	[ca++].[ca++].[ca++].[o-]p([o-])([o-])=o.[o-]p([o-])([o-])=o	24456
carfilzomib	chembl451887	db08889	cc(c)c[c@h](nc(=o)[c@h](ccc1=cc=cc=c1)nc(=o)cn1ccocc1)c(=o)n[c@@h](cc1=cc=cc=c1)c(=o)n[c@@h](cc(c)c)c(=o)[c@@]1(c)co1	11556711
cariprazine	chembl2028019	db06016	cn(c)c(=o)n[c@h]1cc[c@h](ccn2ccn(cc2)c2=c(cl)c(cl)=cc=c2)cc1	11154555
carvedilol	chembl723	db01136	coc1=cc=cc=c1occncc(o)coc1=cc=cc2=c1c1=cc=cc=c1n2	2585
cefotaxime	chembl1730	db00493	[h][c@]12scc(coc(c)=o)=c(n1c(=o)[c@h]2nc(=o)c(=n/oc)\c1=csc(n)=n1)c(o)=o	5742673
cetuximab	chembl1201577	db00002	not found	NA
chlordiazepoxide	chembl451	db00475	cnc1=nc2=c(c=c(cl)c=c2)c(c2=cc=cc=c2)=n(=o)c1	2712
chloroprocaine	chembl1179047	db01161	ccn(cc)ccoc(=o)c1=c(cl)c=c(n)c=c1	8612
chlorpromazine	chembl71	db00477	cn(c)cccn1c2=cc=cc=c2sc2=c1c=c(cl)c=c2	2726
chlorprothixene	chembl908	db01239	[h]c(ccn(c)c)=c1c2=cc(cl)=cc=c2sc2=c1c=cc=c2	667467
cholic acid	chembl205596	db02659	[h][c@@](c)(ccc(o)=o)[c@@]1([h])cc[c@@]2([h])[c@]3([h])[c@]([h])(o)c[c@]4([h])c[c@]([h])(o)cc[c@]4(c)[c@@]3([h])c[c@]([h])(o)[c@]12c	221493
choline	chembl920	db00122	c[n+](c)(c)cco	305
cinnarizine	chembl43064	db00568	c(c=cc1=cc=cc=c1)n1ccn(cc1)c(c1=cc=cc=c1)c1=cc=cc=c1	1547484
cinolazepam	chembl2104926	db01594	oc1n=c(c2=cc=cc=c2f)c2=c(c=cc(cl)=c2)n(ccc#n)c1=o	3033621
cirazoline	chembl13852	db09202	[h]n1ccn=c1coc1=cc=cc=c1c1cc1	2765
citric acid	chembl1261	db04272	oc(=o)cc(o)(cc(o)=o)c(o)=o	311
cladribine	chembl1619	db00242	nc1=c2n=cn([c@h]3c[c@h](o)[c@@h](co)o3)c2=nc(cl)=n1	20279
clenbuterol	chembl49080	db01407	cc(c)(c)ncc(o)c1=cc(cl)=c(n)c(cl)=c1	2783
clobazam	chembl70418	db00349	cn1c2=c(c=c(cl)c=c2)n(c2=cc=cc=c2)c(=o)cc1=o	2789
clomipramine	chembl415	db01242	cn(c)cccn1c2=cc=cc=c2ccc2=c1c=c(cl)c=c2	2801
clonazepam	chembl452	db01068	[o-][n+](=o)c1=cc2=c(nc(=o)cn=c2c2=cc=cc=c2cl)c=c1	2802
clonidine	chembl134	db00575	clc1=cc=cc(cl)=c1nc1=nccn1	2803
clorazepate	chembl1213252	db00628	oc(=o)c1n=c(c2=cc=cc=c2)c2=c(nc1=o)c=cc(cl)=c2	2809
clotiazepam	chembl1697737	db01559	ccc1=cc2=c(s1)n(c)c(=o)cn=c2c1=cc=cc=c1cl	2811
clozapine	chembl42	db00363	cn1ccn(cc1)c1=nc2=cc(cl)=cc=c2nc2=cc=cc=c12	2818
cocaine	chembl370805	db00907	[h][c@]12cc[c@]([h])([c@h]([c@h](c1)oc(=o)c1=cc=cc=c1)c(=o)oc)n2c	446220
coenzyme a	chembl1213327	db01992	cc(c)(cop(o)(=o)op(o)(=o)oc[c@h]1o[c@h]([c@h](o)[c@@h]1op(o)(o)=o)n1c=nc2=c1n=cn=c2n)[c@@h](o)c(=o)nccc(=o)nccs	87642
conestat alfa	chembl2108350	db09228	not found	NA
creatine	chembl283800	db00148	cn(cc(o)=o)c(n)=n	586
